air_quality_PM2_5,air_quality_us_epa_index,month_name
19.1,2,September
8.6,1,September
2.7,1,September
20.6,2,September
13.7,1,September
5.8,1,September
1.3,1,September
1.5,1,September
7.4,1,September
25.9,2,September
11,1,September
2.3,1,September
11.2,1,September
4.7,1,September
33.3,2,September
21.2,2,September
2,1,September
3.8,1,September
11.3,1,September
7.1,1,September
4.6,1,September
30.5,2,September
40.8,3,September
19.7,2,September
11.1,1,September
11.7,1,September
3.7,1,September
7,1,September
5.4,1,September
9.7,1,September
1.3,1,September
1.2,1,September
15.4,1,September
2.7,1,September
10,1,September
18.1,2,September
1.8,1,September
44.4,3,September
10.1,1,September
2.6,1,September
1.9,1,September
21.5,2,September
